Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_BUFFER_1/Queue_3/Primitives,41,40,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_BUFFER_2/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE/Primitives,78,143,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_BUFFER_2/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_1/Primitives,46,79,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_CACHE_CORK/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE/Primitives,11,5,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_CACHE_CORK/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_QUEUE_1/Primitives,12,13,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_CACHE_CORK/Primitives,144,13,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_FRAGMENTER_1/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_REPEATER/Primitives,27,33,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_FRAGMENTER_1/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_REPEATER_2/Primitives,25,19,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_FRAGMENTER_1/Primitives,118,33,0,0,0,0,0,0,0,0,0,0,0,0
MIV_RV32IMA_L1_AHB_0/ChiselTop0/MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TL_FRAGMENTER_1/Repeater_1/Primitives,53,23,0,0,0,0,0,0,0,0,0,0,0,0
